id,ts,payment
1,"2023-10-08 23:11:01",AMEX
2,"2023-10-08 23:11:01",DISCOVER
3,"2023-10-08 23:11:01",VISA
4,"2023-10-08 23:11:01",MASTERCARD
5,"2023-10-08 23:11:01",DEBIT
6,"2023-10-08 23:11:01",DINERSCLUB
7,"2023-10-08 23:17:38",CASH
8,"2023-10-08 23:17:38",CHECK
19,"2023-10-08 23:18:01","INVOICING AVAILABLE"
20,"2023-10-08 23:18:01",PAYPAL
36,"2023-10-08 23:19:36","MASTER CARD"
189,"2023-10-08 23:25:35","CASH ONLY"
198,"2023-10-08 23:26:12","NO CREDIT CARDS"
226,"2023-10-08 23:26:26","TRAVELERS CHECKS"
317,"2023-10-08 23:28:22","CARTE BLANCHE"
318,"2023-10-08 23:28:22","COMPANY CARD"
319,"2023-10-08 23:28:22","DINERS CLUB"
321,"2023-10-08 23:28:22",JCB
381,"2023-10-08 23:29:54","APPLE PAY"
714,"2023-10-08 23:40:44","FINANCING AVAILABLE"
1256,"2023-10-08 23:52:55",INSURANCE
2638,"2023-10-09 00:10:58","MONEY ORDER"
4671,"2023-10-09 00:31:23","ANDROID PAY"
4920,"2023-10-09 00:33:33","SAMSUNG PAY"
8802,"2023-10-09 01:53:11",ATM
134783,"2023-10-11 02:57:27",ZELLE
134785,"2023-10-11 02:57:27",VENMO
